"","F-Value","Pr(>F)","Not-exposed_Radiotherapy-Exposed_Radiotherapy","diff Not-exposed_Radiotherapy-Exposed_Radiotherapy","NETcolors"
"C11orf88|399949",0.414721318019512,0.519933502603658,0.519933502593352,0.185150308473646,"yellow"
"C11orf90|387804",6.07143685246668,0.0141325127673893,0.0141325127417988,-0.7856448568608,"turquoise"
"C11orf92|399948",0.489580949590653,0.484496186267576,0.484496186256798,-0.110038949876321,"turquoise"
"C11orf93|120376",0.220218593061037,0.639113494907617,0.639113494900257,-0.0494202936731902,"black"
"C11orf95|65998",0.0794547182502776,0.77817460566342,0.778174605658952,-0.0185708495932957,"yellow"
"C11orf9|745",2.02262346505778,0.155702952762669,0.155702952743004,-0.192276459475518,"yellow"
"C12orf10|60314",0.0520710673208818,0.819607358704241,0.819607358700594,-0.01247763724135,"blue"
"C12orf11|55726",0.238408160504443,0.625609424827774,0.62560942482012,0.027527016833556,"magenta"
"C12orf23|90488",0.870412954028119,0.351369480715769,0.35136948070176,0.0553782878414246,"grey"
"C12orf24|29902",0.381812131914127,0.536965191212662,0.536965191203069,-0.0623409606653418,"pink"
"C12orf26|84190",0.00665717897809109,0.935009850816832,0.935009850815523,-0.00464520566555571,"turquoise"
"C12orf29|91298",0.696804576652731,0.404327361638838,0.404327361626135,0.0397940271264385,"grey"
"C12orf32|83695",3.70238599651982,0.0550005690164581,0.0550005689929295,0.093057022902352,"grey"
"C12orf34|84915",2.68293043079723,0.102167296625272,0.102167296603697,0.261077856063529,"grey"
"C12orf35|55196",0.00804619549711255,0.928567305703123,0.928567305701685,-0.00659575267652102,"turquoise"
"C12orf41|54934",3.19762473850544,0.0744558718526573,0.074455871829981,-0.0652061469580509,"green"
"C12orf42|374470",0.0305295797847147,0.861379031937105,0.861379031934177,0.0532529247013698,"red"
"C12orf43|64897",8.01872412277617,0.00484907249467584,0.00484907246844768,0.0965965357333252,"grey"
"C12orf44|60673",0.000758768276033373,0.978037350594426,0.978037350593985,0.00161181452854642,"blue"
"C12orf45|121053",2.29365736643146,0.13064507626286,0.130645076242331,-0.115255339217923,"pink"
"C12orf4|57102",2.771859526878,0.0966699010692214,0.096669901047434,0.0901262256928597,"grey"
"C12orf47|51275",3.32043739903408,0.0691245903116999,0.0691245902887925,-0.10426694005111,"pink"
"C12orf48|55010",5.38601787039107,0.0207700800084913,0.020770079983328,-0.245299413763947,"magenta"
"C12orf49|79794",1.73474419969658,0.188514170014401,0.188514169995803,-0.101374552000392,"turquoise"
"C12orf51|283450",1.78547717883589,0.182191498753637,0.182191498734838,0.110676641354317,"turquoise"
"C12orf52|84934",0.0306973033511457,0.861000653565636,0.861000653562833,0.00864170033944411,"blue"
"C12orf53|196500",0.399118858520514,0.527883532633407,0.527883532623608,-0.102988009105784,"brown"
"C12orf54|121273",0.465393977228449,0.49548808838617,0.4954880883753,-0.222159119675401,"black"
"C12orf5|57103",0.23363459951779,0.629090160610212,0.629090160602634,-0.0396313188903257,"grey"
"C12orf56|115749",1.7307117433585,0.189034306616881,0.189034306597923,0.669010358988667,"grey"
"C12orf57|113246",1.4771883271075,0.224888093758766,0.224888093741285,0.0988963337622941,"blue"
"C12orf59|120939",2.06279575093792,0.151670417187042,0.151670417167135,-0.273219301793759,"red"
"C12orf60|144608",1.26466266521649,0.261403599011706,0.261403598995279,0.175477752397188,"blue"
"C12orf61|283416",1.08596853146736,0.297957212030857,0.297957212015443,-0.107396644756905,"blue"
"C12orf62|84987",2.87698835567533,0.0905844978986938,0.0905844978766667,-0.103125326463518,"blue"
"C12orf63|374467",0.177382982346249,0.673844389262498,0.673844389255868,0.108709747408055,"grey"
"C12orf65|91574",0.375500862883304,0.540347968991542,0.540347968982012,-0.0366407069045778,"pink"
"C12orf66|144577",3.23337227123742,0.0728598435388642,0.0728598435161156,-0.11688267793762,"turquoise"
"C12orf68|387856",1.91189624891263,0.167477149305857,0.167477149286583,-0.21406745925541,"yellow"
"C12orf69|440087",0.000590666741039543,0.980621792575516,0.980621792575131,0.00649002885033134,"grey"
"C12orf71|728858",3.2316682460975,0.0729663232743623,0.072966323253532,-0.516774791479059,"grey"
"C12orf72|254013",2.36764877392359,0.124615913556835,0.124615913536091,0.0903166921515632,"turquoise"
"C12orf73|728568",6.21411782602643,0.0130523335397456,0.0130523335140839,-0.175939021131129,"pink"
"C12orf74|338809",3.80901944947846,0.0516463464695249,0.0516463464460134,0.585591954112599,"red"
"C12orf75|387882",0.161059554359349,0.688384111484329,0.688384111478008,0.0528010092257887,"brown"
"C12orf76|400073",12.109442163294,0.000553395340880278,0.0005533953143394,-0.199395479320866,"green"
"C13orf15|28984",2.36109957410041,0.125136851660024,0.1251368516393,-0.207061609684297,"yellow"
"C13orf1|57213",11.7484333924579,0.000668161887830411,0.000668161861297367,0.223948802991327,"grey"
"C13orf16|121793",5.7241707877745,0.0171653196895532,0.0171653196641609,0.711144059271116,"green"
"C13orf18|80183",2.29562421525435,0.130480652492104,0.13048065247157,-0.25084016071878,"red"
"C13orf23|80209",6.7250941429755,0.00983386564034181,0.00983386561446309,0.167050193233971,"turquoise"
"C13orf26|122046",8.51027400173625,0.00372614723416752,0.00372614721055664,0.894858492085161,"brown"
"C13orf27|93081",2.28211570259752,0.13161461649197,0.131614616471477,-0.083872349746998,"pink"
"C13orf29|283487",0.32730708247626,0.567550864804356,0.567550864795439,0.0786070126352323,"brown"
"C13orf30|144809",2.22194977988957,0.136801176710841,0.136801176690528,0.728819909436109,"grey"
"C13orf31|144811",4.55511189944222,0.0333909624078324,0.0333909623833401,0.198533694672686,"brown"
"C13orf33|84935",2.23451947987231,0.135698940652184,0.135698940631833,-0.274376638231485,"yellow"
"C13orf34|79866",0.132672947870801,0.715857298807005,0.715857298801253,-0.0278028685158827,"grey"
"C13orf36|400120",0.0212999851203203,0.884033726452122,0.884033726449797,0.0555696926381821,"grey"
"C13orf37|440145",0.403022254660358,0.525873355174243,0.525873355164395,0.0458122066925917,"grey"
"C13orf38|728591",10.6886831424346,0.00116538554379008,0.00116538551729273,1.34339421689629,"grey"
"C14orf101|54916",2.13682344256018,0.144536634917671,0.14453663489762,0.0555713133813995,"grey"
"C14orf102|55051",0.346068754201876,0.556658738457511,0.556658738448354,0.0257619849345012,"turquoise"
"C14orf104|55172",1.04001700513867,0.308396318109,0.30839631809387,-0.0502113431438218,"magenta"
"C14orf106|55320",0.245454382469765,0.620549593586747,0.620549593578987,0.0387741386658522,"turquoise"
"C14orf109|26175",0.829853065252168,0.362830187961755,0.362830187948031,0.0509181458683798,"blue"
"C14orf1|11161",0.33116906964964,0.565275347945991,0.56527534793701,0.0319669441915913,"blue"
"C14orf118|55668",0.300588550273001,0.583800871043714,0.583800871035154,-0.0409119211035911,"turquoise"
"C14orf119|55017",1.65423177344649,0.199082536967615,0.199082536949357,0.0468410460108704,"blue"
"C14orf126|112487",2.39895302203227,0.122159038147276,0.122159038126438,0.0776543762400461,"turquoise"
"C14orf128|84837",5.5769664880755,0.0186473912481181,0.0186473912228212,-0.193792903213295,"black"
"C14orf129|51527",0.00840251819700483,0.927007094956872,0.927007094955419,0.00678650482170973,"grey"
"C14orf132|56967",0.00710992254189936,0.932841338025495,0.932841338024147,0.0114870876708562,"brown"
"C14orf135|64430",0.219507031293177,0.639655433089362,0.639655433082011,-0.0328884453112082,"turquoise"
"C14orf138|79609",8.16656833609703,0.00447613176276013,0.00447613173650496,-0.161235803397038,"green"
"C14orf139|79686",0.958226798905068,0.32818961072254,0.328189610707932,-0.122592080131497,"yellow"
"C14orf142|84520",0.703429601611404,0.402104056483178,0.402104056470438,-0.0440622818724172,"blue"
"C14orf143|90141",0.146075784608264,0.702504639839433,0.702504639833397,-0.0233623868856832,"magenta"
"C14orf145|145508",0.313079678482162,0.57609055264224,0.57609055263351,-0.0440298337310088,"turquoise"
"C14orf147|171546",0.908319687695934,0.341101098132151,0.341101098117871,-0.0515357698816565,"grey"
"C14orf148|122945",3.66022870314374,0.0563960406555428,0.0563960406320781,-0.235662807084419,"green"
"C14orf149|112849",5.10305293514354,0.0243885676371932,0.0243885676122497,-0.203638604614421,"green"
"C14orf153|84334",0.012020280092768,0.912748862785779,0.912748862784025,-0.00673934763969086,"blue"
"C14orf156|81892",0.207917235446518,0.648637129223474,0.648637129216309,-0.0407644481925651,"blue"
"C14orf159|80017",0.863740774146212,0.353220291804264,0.353220291790302,0.12182628410282,"brown"
"C14orf162|56936",2.58576627817976,0.108569055654003,0.10856905563267,-0.473583537500432,"grey"
"C14orf166|51637",1.3570445262639,0.244702251628155,0.244702251611262,-0.0528140055846027,"pink"
"C14orf167|55449",0.00436178732070818,0.947373913854979,0.947373913853936,0.00363508480353758,"turquoise"
"C14orf169|79697",1.39617741628512,0.238023833888625,0.238023833871528,-0.0999865511364169,"grey"
"C14orf174|161394",1.85572578542544,0.173838734106122,0.173838734087054,-0.179948512836331,"turquoise"
"C14orf176|643382",1.14589782555638,0.28501564737166,0.285015647355892,-0.155010135983248,"black"
"C14orf178|283579",0.612383940164689,0.434326396745083,0.434326396733122,0.210123080601625,"grey"
"C14orf179|112752",0.738398709826235,0.390657589277032,0.390657589264,-0.0587134460433543,"blue"
"C14orf180|400258",0.811770024003634,0.368107729828132,0.368107729814519,0.309932444569438,"brown"
"C14orf181|400223",8.92370797741668,0.00297753082746518,0.00297753080110086,-0.447439467835695,"green"
"C14orf182|283551",2.43411178977896,0.119467180080489,0.119467180059469,-0.34608774677389,"green"
"C14orf184|650662",0.187417516975541,0.665295391982741,0.665295391975689,0.113872049312937,"green"
"C14orf19|280655",0.921113929217198,0.337727056924934,0.337727056910573,0.150553280656418,"pink"
"C14orf21|161424",0.705619941087764,0.4013729163214,0.401372916308642,-0.0718760956985518,"turquoise"
"C14orf28|122525",1.41484096049514,0.234916961885412,0.234916961868227,-0.0690848717267922,"brown"
"C14orf2|9556",2.13717264510228,0.144503911340954,0.144503911320909,-0.104616123581756,"blue"
"C14orf33|100129075",1.041991534941,0.307938084129422,0.307938084114277,-0.075205520049388,"grey"
"C14orf37|145407",0.243507956142676,0.621938182556411,0.621938182548679,0.0700154248828539,"brown"
"C14orf39|317761",0.191393492684672,0.661981054318074,0.661981054311194,-0.0879679491489544,"green"
"C14orf43|91748",0.852387225462478,0.356400499845039,0.35640049983116,-0.0620424978508289,"turquoise"
"C14orf45|80127",1.00098969418249,0.317639102881237,0.317639102866346,-0.0692734532424018,"grey"
